source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,data.ig_play_count,sentiment_rulebased,voting.topic
instagram.com,https://www.instagram.com/svpch/,3739499424901041955_1491469054,"Bei der Einführung der Personenfreizügigkeit hat der Bundesrat gesagt, es kämen jährlich 8'000 bis 10'000 Zuwanderer netto in die Schweiz. Tatsächlich kamen zehnmal mehr, nämlich 80'000 bis 100'000 pro Jahr. Diese masslose Zuwanderung muss gestoppt werden. Unterstütze deshalb die Nachhaltigkeitsinitiative: https://nachhaltigkeitsinitiative.ch/",2025-10-09 09:45:36+00:00,2,746,30,,0.0,0
instagram.com,https://www.instagram.com/svpch/,3738940637426522733_1491469054,"Die Gewalt an Schulen nimmt massiv zu. In den Spitälern braucht es mittlerweile Sicherheitskräfte. Das Zugpersonal erlebt eine unglaublich zunehmende Gewalt. Und das alles wegen «Multikulti». Wer diese bedenkliche Entwicklung endlich stoppen will, unterstützt jetzt die Nachhaltigkeitsinitiative: https://nachhaltigkeitsinitiative.ch/",2025-10-08 15:15:35+00:00,2,1239,48,,-1.0,0
instagram.com,https://www.instagram.com/svpch/,3738784159729874853_1491469054,"(Link in Bio) Der Bundesrat hat den Schutzstatus S für ukrainische Flüchtlinge erneut um ein weiteres Jahr verlängert. Damit bricht die Regierung einmal mehr ihr Versprechen, dass es sich um einen vorübergehenden, auf eine rasche Rückkehr ausgerichteten Schutz handle. Die SVP verurteilt diese unehrliche Salamitaktik, die zu einer dauerhaften Einwanderung in die Schweizer Sozialsysteme führt und die Steuerzahler Milliarden kostet.",2025-10-08 10:03:53+00:00,1,991,186,,-1.0,0
instagram.com,https://www.instagram.com/svpch/,3738741081862199561_1491469054,(Link in Bio) In der Diskussion um die neuen EU-Verträge geht es meistens um fremde Richter und Milliarden-Zahlungen an die EU. Aber es gibt noch einen gut versteckten Aspekt: Die Privilegien für EU-Beamte. Sie müssen keine Steuern zahlen und geniessen Immunität vor Gericht!,2025-10-08 08:38:21+00:00,1,232,16,,-0.11,0
instagram.com,https://www.instagram.com/svpch/,3738158602574713113_1491469054,Nationalrat Franz Grüter redet Klartext: Der EU-Unterwerfungsvertrag zerstört mit seiner Gesetzesflut das Schweizer Erfolgsmodell!,2025-10-07 13:21:55+00:00,2,581,33,,-1.0,0
instagram.com,https://www.instagram.com/svpch/,3737507730161547046_1491469054,"(Link in Bio) Raubüberfalle, Vergewaltigungen, Messerstechereien und Einbrüche sind an der Tagesordnung. Insbesondere kriminelle Asyl-Migranten verüben teils schwerste Gewalttaten. Das herrschende Asyl-Chaos gefährdet die innere Sicherheit der Schweiz und kostet die Steuerzahler Milliarden. Statt die Grenzen zu kontrollieren, verweigert der verantwortliche SP-Bundesrat Jans griffige Massnahmen zum Schutz der eigenen Bevölkerung.",2025-10-06 15:47:57+00:00,8,987,51,,-1.0,0
instagram.com,https://www.instagram.com/svpch/,3737298425961419233_1491469054,"(Link in Bio) Mittlerweile vergeht in der Schweiz kaum ein Tag ohne schwere Gewalt- oder Sexualdelikte, Einbrüche und Diebstähle. Dabei sind ausländische Täter massiv übervertreten. Eine Tatsache, die vor allem Links-grün gerne verschweigt. Nur die SVP setzt sich für mehr Sicherheit ein und dafür, dass der Schweizer Bevölkerung reiner Wein eingeschenkt wird.",2025-10-06 08:52:02+00:00,1,2288,71,,-1.0,0
instagram.com,https://www.instagram.com/svpch/,3736583207530679742_1491469054,Jetzt SVP-Mitglied werden🤗 Wir setzen uns ein. Für eine erfolgreiche und sichere Schweiz – und für unsere einmalige Demokratie. Du auch? 👉🏻 www.svp.ch/mitglied,2025-10-05 09:10:55+00:00,1,1895,75,,0.54,0
instagram.com,https://www.instagram.com/svpch/,3734576926989144730_1491469054,"Der Bundesbrief der alten Eidgenossen umfasst nur eine Seite. Aber alles Wesentliche ist drin: Die Urkantone schliessen ein Bündnis für Frieden, Freiheit und Selbstbestimmung. Der geplante EU-Unterwerfungsvertrag ist das Gegenteil: Er umfasst 2'228 Seiten plus 20'000 Seiten Verordnungstexte. Hinzu kommen noch alle EU-Gesetze, die wir übernehmen müssten. Wer etwas verbergen will, braucht viele Worte. Deshalb NEIN zum EU-Unterwerfungsvertrag!",2025-10-02 14:44:48+00:00,1,1230,77,,0.01,1
instagram.com,https://www.instagram.com/svpch/,3733893256863386395_1491469054,"Was tut der zuständige Bundesrat Beat Jans gegen das Asyl-Chaos und die importierte Kriminalität? Nichts! Deshalb muss jetzt das Volk handeln! Mit über 100’000 Unterschriften haben wir die Volksinitiative «Asylmissbrauch stoppen! (Grenzschutz-Initiative)» eingereicht. Die Initiative fordert systematische Grenzkontrollen und keine Einreise mehr für Asylmigranten, die aus einem sicheren Drittland kommen.",2025-10-01 16:07:16+00:00,2,2027,106,,0.38,0
